1    1    1
2    2    1.99
4    4    4.00
8    8    8.00
16   16   16.0
32   32   31.9
64   64   63.2
128  128  126.46
256  256  251.22
512  512  500.9
1024 1024 970

#1  1    22057.868894 22057.868894
#2  2    11029.930199 22057.868894
#3  4    5513.290365  22057.868894
#4  8    2754.976976  22057.868894
#5  16   1378.304407  22057.868894
#6  32   690.158423   22057.868894
#7  64   348.732121   22057.868894
#8  128  174.425041   22057.868894
#9  256  87.801951    22057.868894
#10 512  44.032426    22057.868894
#11 1024 22.725781    22057.868894
